"JSONcreated_at","id","text","user.id","user.name","user.screen_name","user.location","user.followers_count","user.friends_count","user.created_at","user.time_zone","user.profile_background_color","user.profile_image_url","user.favourites_count","user.statuses_count","geo","coordinates","retweet_count"
,857437498292674600,"RT @maojint: every rein battle ever #overwatch https://t.co/PVhTovXjRR",807151797949190100,"에이스가 각성을 한대!!","marinkarinmarin","프로필을 제발 읽어주세요!",96,166,"Fri Dec 09 09:15:59 +0000 2016","Pacific Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/857200106449190912/Sbe9xtzQ_normal.jpg",7413,14854,,,275
,857437487354052600,"RT @GucciGlenn10: Come hang out in this chill ass stream! @MudkipMama is playing overwatch with @TheNickieFlare. https://t.co/Tv4wcK2ctT",4665096752,"Nickie Valentine","TheNickieFlare","Atlanta, GA",5325,471,"Mon Dec 28 03:49:57 +0000 2015","Pacific Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/843314834095726593/MAnostsk_normal.jpg",18359,35045,,,2
,857437485223342100,"RT @ProfessorShyguy: I'm learning some Overwatch.  Finally gave in...\nStreaming on @Beam\nhttps://t.co/ry1RpUbY6S",621734403,"matt pickard","MattsNeetWorld","United States",3774,3751,"Fri Jun 29 07:07:07 +0000 2012","Eastern Time (US & Canada)","F2F4F5","http://pbs.twimg.com/profile_images/850528466076405760/LtmKOmOB_normal.jpg",11121,7838,,,1
,857437484896092200,"Meu Melhor momento em Overwatch: https://t.co/L4ZrBfEqK1 via @YouTube",117729305,"King in the North","Nando_Sonny","SP, longe de você",890,282,"Fri Feb 26 12:25:43 +0000 2010","Brasilia","022330","http://pbs.twimg.com/profile_images/852539134468141057/a4qH1ZPb_normal.jpg",1276,55740,,,0
,857437467070402600,"RT @KentaroPJJ: Here's a fixed version! #Dva #OfficerDVa #Heroesofthestorm #Overwatch https://t.co/NjvMFY2htY",21160923,"Nephele ✨","Nephelegaming","Cleveland, TN",496,417,"Wed Feb 18 02:34:28 +0000 2009","Eastern Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/854089099719958528/3bReHK3-_normal.jpg",9283,5243,,,15
,857437428180635600,"Time for some late night #hookups #hookem #hooked #hookedonafeeling with #overwatch and #Roadhog https://t.co/Wgqg6RkoHS",3230273142,"Jason Neto","MakeMeARobot1","Olympia, WA",253,195,"Sat May 30 04:00:29 +0000 2015",,"000000","http://pbs.twimg.com/profile_images/604506208028884993/-JFLzu49_normal.jpg",4322,1506,,,0
,857437424976359400,"The Widow's Kiss - Overwatch Montage #2: https://t.co/NoxGoq2gBa via @YouTube",362259086,"Rebel 🍊","SFRebellion77","California, USA",321,287,"Fri Aug 26 03:07:33 +0000 2011","Pacific Time (US & Canada)","022330","http://pbs.twimg.com/profile_images/836499963836149760/yc_Y0-OS_normal.jpg",3240,2994,,,0
,857437418525294600,"RT @mmmagnolia: You're under arrest #overwatch https://t.co/mQCFnBGkk3",818117098475909100,"내인생이야 다 꺼져No_named","No_named01","",7,17,"Sun Jan 08 15:28:10 +0000 2017",,"F5F8FA","http://pbs.twimg.com/profile_images/818119469415350274/zO04N6l2_normal.jpg",100,1906,,,2774
,857437400108347400,"#Breaking_News (Blizzard Confirms 3 New Maps Are Coming To Overwatch) - https://t.co/AvNXdE58fc via #Indilens https://t.co/UozozrkzrD",2277874868,"Indilens","Indilens","India",15515,181,"Sun Jan 05 17:23:19 +0000 2014","Pacific Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/423169136890347520/TPGf0Ehj_normal.jpeg",92,56672,,,0
,857437396685791200,"A skin thunder guard zarya precisa existir no overwatch.",56737581,"Yuuko","LegendOfSenpai","Alasca, USA",1595,319,"Tue Jul 14 16:17:12 +0000 2009","Brasilia","000000","http://pbs.twimg.com/profile_images/854187760952979456/2UyjJcnd_normal.jpg",2592,151315,,,0
,857437395297357800,"RT @Obasoku_gg: 【オーバーウォッチ】Nexus Challenge2.0キタ━(ﾟ∀ﾟ)━！！D.VAに新スキンや鬼ゲンジを取り逃した人でもチャンスが到来！また、HotSとコラボした短編アニメージョンも公開\n#オーバーウォッチ　#Overwatch\nhttps:…",330871789,"お姉ちゃん👾👾","rikosister","千葉県松戸市",1043,435,"Thu Jul 07 08:47:16 +0000 2011","Hawaii","000000","http://pbs.twimg.com/profile_images/848471135561728000/NaM7p8KA_normal.jpg",2009,58294,,,1131
,857437380487270400,"Overwatch? yes please! @ThatsSoBrandon https://t.co/Ykt5XEI88N",720464113319682000,"If You Seek Amy","griffin_cheri","",68,74,"Thu Apr 14 04:10:05 +0000 2016",,"000000","http://pbs.twimg.com/profile_images/817818545237147649/_3udT6l0_normal.jpg",404,133,,,0
,857437369175203800,"โอโห overwatch เวอร์กุกวี",3181871606,"☼ㅂㅁ","bmnutt_","Golden Closet",141,592,"Fri May 01 15:16:35 +0000 2015","Pacific Time (US & Canada)","ABB8C2","http://pbs.twimg.com/profile_images/852177742330081280/o-StXpVU_normal.jpg",4435,42161,,,0
,857437368323846100,"RT @mmmagnolia: You're under arrest #overwatch https://t.co/mQCFnBGkk3",3319011148,"Mr.Monttu","MrMonttu","Etelä-Savo, Suomi",457,663,"Thu Jun 11 13:30:10 +0000 2015","Helsinki","000000","http://pbs.twimg.com/profile_images/778971891642040320/5aDbhHaH_normal.jpg",10794,8959,,,2774
