,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
3576,10235644,52552442,Private room,,MK22,0,,2,1.0,1.0,152.0,1.0,1.367362,103.883001,2016-06-11 04:10:52.697579
3577,10236104,27813889,Private room,,TS15,22,5.0,2,1.0,1.0,62.0,,1.303106,103.863745,2016-06-11 04:11:28.642379
3578,10236573,52612114,Entire home/apt,,MK26,35,5.0,4,1.0,1.0,126.0,1.0,1.304646,103.906701,2016-06-11 04:10:36.300766
3579,10240532,9527221,Private room,,MK16,1,,3,1.0,1.0,167.0,1.0,1.369237,103.775072,2016-06-11 05:55:59.863011
3580,10242455,50896109,Private room,,MK24,4,5.0,10,1.0,1.0,103.0,2.0,1.345797,103.878078,2016-06-11 04:47:42.781310
3581,10244337,52590953,Entire home/apt,,MK27,1,,4,1.0,1.0,100.0,1.0,1.305917,103.925153,2016-06-11 04:31:06.566231
3582,10244766,3546982,Private room,,MK26,33,4.5,2,1.0,1.0,73.0,3.0,1.316627,103.902409,2016-06-11 04:12:13.349850
3583,10252384,52701818,Shared room,,TS03,0,,4,1.0,3.0,309.0,1.0,1.276211,103.845238,2016-06-11 02:31:10.693512
3584,10252494,52702944,Entire home/apt,,TS19,19,5.0,4,1.0,1.0,139.0,3.0,1.303691,103.842188,2016-06-11 05:48:53.155183
3585,10256318,51702190,Entire home/apt,,TS29,1,,6,2.0,2.0,299.0,1.0,1.320623,103.851564,2016-06-11 02:04:13.164490
3586,10256688,3500378,Entire home/apt,,TS11,4,5.0,6,3.0,,284.0,1.0,1.300978,103.850694,2016-06-11 04:51:22.646839
3587,10258058,52739393,Private room,,MK01,0,,2,1.0,1.0,82.0,7.0,1.285921,103.828133,2016-06-11 02:29:29.890803
3588,10259976,20416674,Private room,,MK25,10,5.0,3,1.0,1.0,57.0,1.0,1.297713,103.901162,2016-06-11 05:33:04.999730
3589,10262791,35605682,Private room,,MK21,0,,1,1.0,1.0,38.0,1.0,1.394915,103.888585,2016-06-11 05:03:12.736258
3590,10272447,51283217,Private room,,MK17,0,,2,1.0,1.0,49.0,1.0,1.347291,103.850343,2016-06-11 01:50:31.100497
3591,10273137,32184450,Entire home/apt,,MK17,0,,8,3.0,2.0,229.0,3.0,1.352591,103.822615,2016-06-11 04:40:34.418211
3592,10273463,1017645,Private room,,MK23,2,,6,1.0,1.0,107.0,2.0,1.322058,103.913449,2016-06-11 05:52:10.407416
3593,10283447,30813087,Entire home/apt,,TS24,1,,3,1.0,1.0,102.0,3.0,1.295454,103.828379,2016-06-11 03:46:07.597278
3594,10283591,30813087,Entire home/apt,,TS24,0,,4,2.0,1.0,160.0,3.0,1.295118,103.826216,2016-06-11 05:31:00.898823
3595,10283690,52894055,Private room,,MK06,0,,1,1.0,1.0,573.0,1.0,1.340263,103.700383,2016-06-11 05:10:53.580387
3596,10283854,18912938,Private room,,TS19,0,,1,1.0,1.0,45.0,1.0,1.301794,103.846518,2016-06-11 04:30:51.332148
3597,10284269,52898035,Entire home/apt,,TS10,1,,2,1.0,1.0,134.0,7.0,1.290644,103.850069,2016-06-11 04:43:32.873637
3598,10284893,52903143,Private room,,MK22,0,,2,1.0,1.0,62.0,1.0,1.36158,103.884043,2016-06-11 04:57:21.822450
3599,10284995,51957675,Private room,,TS27,1,,3,1.0,,61.0,1.0,1.304123,103.839734,2016-06-11 06:01:38.859155
3600,10285182,51957675,Private room,,TS27,2,,3,1.0,1.0,48.0,1.0,1.301314,103.840615,2016-06-11 02:08:18.191695
3601,10287459,31265502,Private room,,MK24,0,,2,1.0,1.0,52.0,1.0,1.339566,103.882308,2016-06-11 01:58:09.773233
3602,10290888,15553995,Private room,,TS17,0,,4,1.0,1.0,69.0,1.0,1.310284,103.859214,2016-06-11 05:54:06.954073
3603,10292562,43308140,Private room,,MK17,3,3.5,2,1.0,1.0,42.0,3.0,1.324475,103.86365,2016-06-11 02:14:07.218601
3604,10298654,52986713,Private room,,MK27,0,,1,1.0,1.0,58.0,1.0,1.312131,103.939394,2016-06-11 02:18:13.839084
3605,10299612,30620762,Private room,,MK11,0,,1,1.0,1.0,69.0,1.0,1.3948,103.744808,2016-06-11 05:22:15.232101
3606,10299900,51190711,Entire home/apt,,MK24,15,5.0,4,2.0,1.0,142.0,2.0,1.317219,103.887542,2016-06-11 05:51:04.781388
3607,10300812,51732969,Entire home/apt,,MK20,4,4.5,4,2.0,2.0,221.0,2.0,1.379266,103.830731,2016-06-11 01:56:16.096416
3608,10302387,33871191,Shared room,,MK25,0,,1,1.0,1.0,31.0,1.0,1.311694,103.884581,2016-06-11 02:10:43.110759
3609,10304180,14562650,Private room,,TS24,7,4.0,5,1.0,2.0,75.0,1.0,1.296687,103.82979,2016-06-11 02:04:18.728638
3610,10304845,8492007,Entire home/apt,,MK17,2,,5,2.0,2.0,152.0,3.0,1.327701,103.865114,2016-06-11 02:54:31.181319
3611,10308244,8948251,Private room,,TS06,0,,2,1.0,2.0,34.0,1.0,1.283398,103.842807,2016-06-11 05:21:16.268868
3612,10310084,53048732,Entire home/apt,,TS22,0,,4,1.0,1.0,99.0,1.0,1.288787,103.840138,2016-06-11 05:41:54.307405
3613,10318835,13460992,Private room,,MK24,0,,1,1.0,1.0,11.0,1.0,1.316386,103.883854,2016-06-11 04:50:37.046749
3614,10321144,9640808,Private room,,TS21,14,4.5,2,1.0,1.0,68.0,1.0,1.297493,103.832685,2016-06-11 05:38:18.406214
3615,10321437,5410407,Entire home/apt,,TS27,1,,5,1.0,1.0,162.0,1.0,1.301558,103.838665,2016-06-11 05:57:52.359301
3616,10321451,15269799,Private room,,MK26,17,5.0,1,1.0,1.0,42.0,1.0,1.304631,103.908595,2016-06-11 04:22:20.713634
3617,10323449,53123008,Private room,,MK06,6,4.5,2,1.0,1.0,58.0,1.0,1.343375,103.716233,2016-06-11 04:20:08.788068
3618,10324019,8665374,Private room,,MK01,16,5.0,1,1.0,1.0,45.0,2.0,1.282917,103.830711,2016-06-11 05:54:08.501532
3619,10324364,8665374,Private room,,MK01,0,,2,1.0,1.0,72.0,4.0,1.282686,103.829751,2016-06-11 04:34:28.002975
3620,10324648,22389837,Entire home/apt,,MK22,3,2.5,7,3.0,2.0,152.0,1.0,1.355573,103.880752,2016-06-11 05:16:22.940168
3621,10325964,41721275,Private room,,TS11,20,4.5,4,1.0,1.0,67.0,1.0,1.298668,103.851098,2016-06-11 04:27:47.824776
3622,10329887,53101516,Private room,,MK18,2,,2,1.0,1.0,45.0,3.0,1.360238,103.845999,2016-06-11 05:08:08.912648
3623,10338800,53206326,Private room,,TS28,0,,1,1.0,1.0,83.0,1.0,1.314234,103.840753,2016-06-11 03:38:05.486712
3624,10340202,12944791,Entire home/apt,,TS30,0,,5,2.0,2.0,199.0,5.0,1.28113,103.854323,2016-06-11 03:58:15.235909
3625,10341515,32952969,Entire home/apt,,TS21,0,,6,1.0,2.0,219.0,14.0,1.295584,103.835498,2016-06-11 05:42:04.815884
3626,10343051,4421979,Private room,,MK03,0,,1,1.0,1.0,61.0,18.0,1.281242,103.791312,2016-06-11 01:56:08.059988
3627,10343449,53234750,Entire home/apt,,TS16,0,,2,1.0,1.0,234.0,1.0,1.305953,103.857556,2016-06-11 05:27:26.176932
3628,10343519,52472629,Entire home/apt,,TS21,1,,2,1.0,2.0,124.0,1.0,1.29923,103.830977,2016-06-11 05:51:31.657500
3629,10343652,25480067,Entire home/apt,,TS21,1,,4,2.0,2.0,305.0,2.0,1.304099,103.833234,2016-06-11 05:11:34.396314
3630,10346306,6904615,Private room,,TS16,0,,3,1.0,,58.0,1.0,1.305616,103.852368,2016-06-11 05:59:32.373463
